name;recclass;mass;fall;year;reclat;reclong
Aachen;L5;21;Fell;1880;50,775;6,08333
Aarhus;H6;720;Fell;1951;56,18333;10,23333
Abee;EH4;107000;Fell;1952;54,21667;-113
Acapulco;Acapulcoite;1914;Fell;1976;16,88333;-99,9
Achiras;L6;780;Fell;1902;-33,16667;-64,95
Adhi Kot;EH4;4239;Fell;1919;32,1;71,8
Adzhi-Bogdo (stone);LL3-6;910;Fell;1949;44,83333;95,16667
Agen;H5;30000;Fell;1814;44,21667;0,61667
Aguada;L6;1620;Fell;1930;-31,6;-65,23333
Aguila Blanca;L;1440;Fell;1920;-30,86667;-64,55
Aioun el Atrouss;Diogenite-pm;1000;Fell;1974;16,39806;-9,57028
A�r;L6;24000;Fell;1925;19,08333;8,38333
Aire-sur-la-Lys;Unknown;;Fell;1769;50,66667;2,33333
Akaba;L6;779;Fell;1949;29,51667;35,05
Akbarpur;H4;1800;Fell;1838;29,71667;77,95
Akwanga;H;3000;Fell;1959;8,91667;8,43333
Akyumak;Iron, IVA;50000;Fell;1981;39,91667;42,81667
Al Rais;CR2-an;160;Fell;1957;24,41667;39,51667
Al Zarnkh;LL5;700;Fell;2001;13,66033;28,96
Alais;CI1;6000;Fell;1806;44,11667;4,08333
Albareto;L/LL4;2000;Fell;1766;44,65;11,01667
Alberta;L;625;Fell;1949;2;22,66667
Alby sur Ch�ran;Eucrite-mmict;252;Fell;2002;45,82133;6,01533
Aldsworth;LL5;700;Fell;1835;51,78333;-1,78333
Aleppo;L6;3200;Fell;1873;36,23333;37,13333
Alessandria;H5;908;Fell;1860;44,88333;8,75
Alexandrovsky;H4;9251;Fell;1900;50,95;31,81667
Alfianello;L6;228000;Fell;1883;45,26667;10,15
Allegan;H5;32000;Fell;1899;42,53333;-85,88333
Allende;CV3;2e+06;Fell;1969;26,96667;-105,31667
Almahata Sitta;Ureilite-an;3950;Fell;2008;20,74575;32,41275
Alta'ameem;LL5;6000;Fell;1977;35,27333;44,21556
Ambapur Nagla;H5;6400;Fell;1895;27,66667;78,25
Andhara;Stone-uncl;2700;Fell;1880;26,58333;85,56667
Andover;L6;3200;Fell;1898;44,61667;-70,75
Andreevka;L3;600;Fell;1969;48,7;37,5
Andura;H6;17900;Fell;1939;20,88333;76,86667
Angers;L6;;Fell;1822;47,46667;-0,55
Angra dos Reis (stone);Angrite;1500;Fell;1869;-22,96667;-44,31667
Ankober;H4;6500;Fell;1942;9,53333;39,71667
Anlong;H5;2500;Fell;1971;25,15;105,18333
Aomori;L6;320;Fell;1984;40,81056;140,78556
Appley Bridge;LL6;15000;Fell;1914;53,58333;-2,71667
Apt;L6;3200;Fell;1803;43,86667;5,38333
Arbol Solo;H5;810;Fell;1954;-33;-66
Archie;H6;5070;Fell;1932;38,5;-94,3
Arroyo Aguiar;H5;7450;Fell;1950;-31,41667;-60,66667
Asco;H6;41;Fell;1805;42,45;9,03333
Ash Creek;L6;9500;Fell;2009;31,805;-97,01
Ashdon;L6;1300;Fell;1923;52,05;0,3
Assisi;H5;2000;Fell;1886;43,03333;12,55
